X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ko:K00002,1467.79760494172,-0.627393687774957,0.156504184255458,-4.00879817213627,6.10285467028184e-05,0.0004142973857563
ko:K00003,48325.9002351243,0.361017145948854,0.0890264504155388,4.05516724820292,5.00984439051007e-05,0.0003448362344679
ko:K00004,2311.03620531748,0.467710151077279,0.104812484485475,4.46235153544226,8.10650924358938e-06,6.84099899636412e-05
ko:K00011,2758.92434055426,-0.835432749050918,0.214514676191922,-3.89452490562218,9.83913826970202e-05,0.0006421437598376
ko:K00018,8754.83286593994,0.608291315848938,0.130287783778493,4.66882848266971,3.02922138496282e-06,2.8441023003262e-05
ko:K00020,18598.655745756,0.31493338978756,0.121749550082948,2.58673144642419,0.0096891075140388,0.0333101972458017
ko:K00027,119318.301284475,-2.66526479851609,0.831084312568849,-3.20697281636548,0.0013413967060698,0.0061487863286086
ko:K00030,18335.4838507845,0.590831544748115,0.142071087531069,4.15870361109826,3.2005886585662e-05,0.0002299125320504
ko:K00032,5937.06384969715,-3.81720947006638,0.193016529580972,-19.7765936334744,4.73624253130288e-87,7.60403738400678e-84
ko:K00033,35165.5780957989,0.285820584449155,0.107398673527179,2.66130460518978,0.0077838504219895,0.0277717566282959
ko:K00035,3029.24301417405,-0.930684607067465,0.232573771886859,-4.00167482135613,6.28956986761275e-05,0.0004256229472055
ko:K00038,2804.33294280327,1.87952515134654,0.440665582372783,4.26519616355368,1.9972664424037e-05,0.0001521523735838
ko:K00041,627.909868671494,-0.647803583914689,0.207940700111923,-3.11532847377167,0.0018374017583028,0.00810982411809
ko:K00042,7371.85938110621,0.371516472724293,0.141037734384703,2.6341636466658,0.0084344825291987,0.0296964072382204
ko:K00046,8125.65529525415,-1.31253650106916,0.47262566351207,-2.77711644203942,0.0054843527327401,0.0206209093967549
ko:K00052,46527.2696322343,0.292211386363524,0.088468946374755,3.30298255306121,0.0009566233948394,0.0046234616451589
ko:K00054,2049.62071186989,0.906582563850573,0.117137855932311,7.73944986985635,9.984789676290711e-15,2.66067714942485e-13
ko:K00055,3560.50463903005,0.964314065682866,0.159382190539283,6.05032508600885,1.44553836398631e-09,2.21029699369526e-08
ko:K00065,4774.58757354019,0.757544812724598,0.223664077256472,3.38697578089813,0.0007066762591163,0.0035481869164362
ko:K00066,29239.9086439625,-1.66720868588007,0.3668530232023,-4.54462299731599,5.5033664424687e-06,4.90188894501165e-05
ko:K00073,766.22776654494,1.5863824981007,0.119753240658365,13.2470945201923,4.690119296520549e-40,8.14052597898783e-38
ko:K00074,48365.324661152,0.337859228925035,0.126952892961167,2.66129602126029,0.0077840488836706,0.0277717566282959
ko:K00087,13836.5099000526,-0.722908274474674,0.274367808398442,-2.63481448022084,0.008418328065957,0.0296557887216544
ko:K00088,31528.6383468076,0.615657241241683,0.142092782769219,4.3327833352494,1.47235992707951e-05,0.0001160183491006
ko:K00090,19954.3722796262,-1.87055893459885,0.169853803574427,-11.0127585914154,3.3168946099364298e-28,3.38112653730345e-26
ko:K00091,5349.35003536757,0.727871819171016,0.189404581837929,3.84294726192973,0.0001215655986156,0.0007760380460333
ko:K00099,39334.658559968,1.8119045288741,0.384603043298487,4.71110294222996,2.46379737092612e-06,2.34874695494576e-05
ko:K00101,10745.7250108509,0.705472781249938,0.195873259814912,3.60167989196977,0.0003161675270031,0.0017655894420994
ko:K00103,5571.5682364897,-0.353851448836073,0.142636705133693,-2.48078815690821,0.0131092257186092,0.0426412682225482
ko:K00107,156.434976854447,-1.15179891860233,0.252202692714582,-4.56695726046754,4.94854858748721e-06,4.45422995050142e-05
ko:K00108,17891.4196957967,-0.807019010628091,0.220524683549957,-3.65954049967051,0.0002526679097533,0.0014500744561539
ko:K00112,823.13648406563,-0.564395050807604,0.152732257974631,-3.69532316415667,0.0002196072838078,0.0012797803780527
